CHASWOOD RESOURCES HLDGS LTD.;5TW 
CHEMICAL INDUSTRIES (F.E.) LTD;C05 
CHEUNG WOH TECHNOLOGIES LTD;C50 
CHEW'S GROUP LIMITED;5SY 
CHINA AVIATION OIL(S) CORP LTD;G92 
CHINA BEARING (SINGAPORE) LTD.;AD7 
CHINA EASTERN AIR ADR 10;K3CD
CHINA ENVIRONMENT LTD.;5OU 
CHINA ENVIRONMENTAL RES GP LTD;RS1 
CHINA ESSENCE GROUP LTD.;G54 
CHINA EVERBRIGHT WATER LIMITED;U9E 
CHINA FIBRETECH LTD.;AXL 
CHINA FISHERY GROUP LIMITED;B0Z 
CHINA FLEXIBLE PACK HLDG LTD;BCX 
CHINA FLEXIBLE PACK W191205;CBCW
CHINA GAOXIAN FIBREFAB HLDGLTD;AZZ 
CHINA GAOXIAN FIBREFAB W180918;BABW
CHINA GREAT LAND HOLDINGS LTD.;D50 
CHINA HAIDA LTD.;C92 
CHINA HONGXING SPORTS LIMITED;BR9 
CHINA INTERNATIONAL HLDGS LTD;BEH 
CHINA JINJIANG ENV HLDG CO LTD;BWM 
CHINA JISHAN HOLDINGS LIMITED;J18 
CHINA KANGDA FOOD COMPANY LTD;P74 
CHINA KUNDA TECH HOLDINGS LTD;GU5 
CHINA MED (INTL) W180329;5VNW
CHINA MEDICAL (INTL) GROUP LTD;5IB 
CHINA MINING INTERNATIONAL LTD;BHD 
CHINA PAPER HOLDINGS LIMITED;C71 
CHINA SKY CHEM FIBRE CO., LTD.;E90 
CHINA SOUTHERN AIR ADR 10;K3TD
CHINA SPORTS INTL LIMITED;FQ8 
CHINA STAR FOOD GROUP LIMITED;42W 
CHINA STAR FOOD GROUP W180417;43IW
CHINA SUN BIOCHEM TECH GP CO.;C86 
CHINA SUNSINE CHEM HLDGS LTD.;CH8 
CHINA TAISAN TECH GRP HLDGSLTD;AZW 
CHINA TELECOM ADR 10;K3ED
CHINA UNICOM HK LTD ADR 10;K3ID
CHINA YUANBANG PROP HLDGS LTD;BCD 
CHINAMOBILE ADR 10;K3PD
CHINESE GLOBAL INVESTORS GRP;5CJ 
CHIP ENG SENG CORPORATION LTD;C29 
CHOO CHIANG HOLDINGS LTD.;42E 
CHUAN HUP HOLDINGS LIMITED;C33 
CIMB FT ASEAN 40 100 S$;QS0 
CIMB FTSE ASEAN40 100;M62 
CIMB S&P ASIA PAC DIVIDEND S$;QR9 
CIMB S&P ASIA PACIFIC DIVIDEND;P5P 
CITIC ENVIROTECH LTD.;CEE 
CITY DEVELOPMENTS LIMITED;C09 
CITY DEVELOPMENTS LTD NCCPS;C70 
CITYNEON HOLDINGS LIMITED;5HJ 
CIVMEC LIMITED;P9D 
CMC INFOCOMM LIMITED;42F 
CNA GROUP LTD.;5GC 
CNMC GOLDMINE HOLDINGS LIMITED;5TP 
COGENT HOLDINGS LIMITED;KJ9 
COLEX HOLDINGS LIMITED;567 
COMBINE WILL INTL HLDGS LTD;N0Z 
COMFORTDELGRO CORPORATION LTD;C52 
COMPACT METAL INDUSTRIES LTD;T4E 
CORDLIFE GROUP LIMITED;P8A 
CORTINA HOLDINGS LIMITED;C41 
COSCO SHIPPING INTL(S) CO. LTD;F83 
COSMOSTEEL HOLDINGS LIMITED;B9S 
COURAGE MARINE GROUP LIMITED;ATL 
COURTS ASIA LIMITED;RE2 
CPH LTD;539 
CREATIVE TECHNOLOGY LTD;C76 
CROESUS RETAIL TRUST;S6NU
CSC HOLDINGS LTD;C06 
CSC HOLDINGS W201229;BMNW
CSE GLOBAL LTD;544 
CTRIP.COM INTERNATIONAL ADR 10;K3RD
CWG INTERNATIONAL LTD.;ACW 
CWT LIMITED;C14 
DAIRY FARM INT'L HOLDINGS LTD;D01 
DAPAI INTL HLDG CO. LTD.;FP1 
DARCO WATER TECHNOLOGIES LTD;BLR 
DASIN RETAIL TRUST;CEDU
DATAPULSE TECHNOLOGY LIMITED;BKW 
DBS GROUP HOLDINGS LTD;D05 
DBS MB ECW170605;CAAW
DBS MB ECW170612;CAIW
DBS MB ECW170703;CBDW
DBS MB ECW170710;CBJW
DBS MB ECW171002;CBKW
DBS MB ECW171016;CGQW
DBS MB ECW171030;CBLW
DBS MB ECW171101;CBMW
DBS MB EPW170605;CABW
DBS MB EPW170612;CAJW
DBS MB EPW170703;CBEW
DBS MB EPW171002;CBNW
DBS MB EPW171016;CGXW
DBS MB EPW171030;CBOW
DBS S$800M 4.7% NCPS;MU7 
DBXT AUD CASH ETF 5;KV5 
DBXT AUD CASH ETF SGD 5;KV7 
DBXT AUD CASH ETF USD 5;KV6 
DBXT AUD SSA BONDS ETF 5;K6Y 
DBXT CSI300 ETF 10;KT4 
DBXT EONIA TR ETF USD 5;KV8 
DBXT EURO STOXX 50 ETF 10;IH0 
DBXT FT CHINA 50 ETF 10;HD8 
DBXT FTSE VIETNAM ETF 10;HD9 
DBXT IBOXX SINGAPORE ETF 5;KV4 
DBXT IBOXX SOV EURO ETF 5;KF6 
