BOVW;CHASEN HOLDINGS W180201       
5TW;CHASWOOD RESOURCES HLDGS LTD. 
C05;CHEMICAL INDUSTRIES (F.E.) LTD
C50;CHEUNG WOH TECHNOLOGIES LTD   
5SY;CHEW'S GROUP LIMITED          
G92;CHINA AVIATION OIL(S) CORP LTD
AD7;CHINA BEARING (SINGAPORE) LTD.
K3CD;CHINA EASTERN AIR ADR 10      
5OU;CHINA ENVIRONMENT LTD.        
RS1;CHINA ENVIRONMENTAL RES GP LTD
G54;CHINA ESSENCE GROUP LTD.      
U9E;CHINA EVERBRIGHT WATER LIMITED
AXL;CHINA FIBRETECH LTD.          
B0Z;CHINA FISHERY GROUP LIMITED   
BCX;CHINA FLEXIBLE PACK HLDG LTD  
CBCW;CHINA FLEXIBLE PACK W191205   
AZZ;CHINA GAOXIAN FIBREFAB HLDGLTD
BABW;CHINA GAOXIAN FIBREFAB W180918
D50;CHINA GREAT LAND HOLDINGS LTD.
C92;CHINA HAIDA LTD.              
BR9;CHINA HONGXING SPORTS LIMITED 
BEH;CHINA INTERNATIONAL HLDGS LTD 
BWM;CHINA JINJIANG ENV HLDG CO LTD
J18;CHINA JISHAN HOLDINGS LIMITED 
P74;CHINA KANGDA FOOD COMPANY LTD 
GU5;CHINA KUNDA TECH HOLDINGS LTD 
5VNW;CHINA MED (INTL) W180329      
5IB;CHINA MEDICAL (INTL) GROUP LTD
BHD;CHINA MINING INTERNATIONAL LTD
C71;CHINA PAPER HOLDINGS LIMITED  
E90;CHINA SKY CHEM FIBRE CO., LTD.
K3TD;CHINA SOUTHERN AIR ADR 10     
FQ8;CHINA SPORTS INTL LIMITED     
42W;CHINA STAR FOOD GROUP LIMITED 
43IW;CHINA STAR FOOD GROUP W180417 
C86;CHINA SUN BIOCHEM TECH GP CO. 
CH8;CHINA SUNSINE CHEM HLDGS LTD. 
AZW;CHINA TAISAN TECH GRP HLDGSLTD
K3ED;CHINA TELECOM ADR 10          
K3ID;CHINA UNICOM HK LTD ADR 10    
BCD;CHINA YUANBANG PROP HLDGS LTD 
K3PD;CHINAMOBILE ADR 10            
5CJ;CHINESE GLOBAL INVESTORS GRP  
C29;CHIP ENG SENG CORPORATION LTD 
42E;CHOO CHIANG HOLDINGS LTD.     
C33;CHUAN HUP HOLDINGS LIMITED    
QS0;CIMB FT ASEAN 40 100 S$       
M62;CIMB FTSE ASEAN40 100         
QR9;CIMB S&P ASIA PAC DIVIDEND S$ 
P5P;CIMB S&P ASIA PACIFIC DIVIDEND
CEE;CITIC ENVIROTECH LTD.         
C09;CITY DEVELOPMENTS LIMITED     
C70;CITY DEVELOPMENTS LTD NCCPS   
5HJ;CITYNEON HOLDINGS LIMITED     
P9D;CIVMEC LIMITED                
42F;CMC INFOCOMM LIMITED          
5GC;CNA GROUP LTD.                
5TP;CNMC GOLDMINE HOLDINGS LIMITED
KJ9;COGENT HOLDINGS LIMITED       
567;COLEX HOLDINGS LIMITED        
N0Z;COMBINE WILL INTL HLDGS LTD   
C52;COMFORTDELGRO CORPORATION LTD 
T4E;COMPACT METAL INDUSTRIES LTD  
